seed,norm,cooperation,fairness
1,195,0.089888,0.7226055914191256
2,195,0.093896,0.8266110955760617
3,195,0.836412,0.9385887806595471
4,195,0.09004,0.7042027358228596
5,195,0.850396,0.984310262657138
6,195,0.091324,0.7711781805378436
7,195,0.853728,0.9596624267413142
8,195,0.856528,0.9681565048476732
9,195,0.847132,0.9532942421548808
10,195,0.853524,0.9590381994762303
11,195,0.841772,0.9661321074076477
12,195,0.845988,0.9852167851243425
13,195,0.854156,0.9741423752270565
14,195,0.817112,0.9601258309877467
15,195,0.856988,0.9797615761507142
16,195,0.847812,0.9723121586722939
17,195,0.854272,0.980987724412011
18,195,0.851968,0.949045915651666
19,195,0.85514,0.987763730115701
20,195,0.849916,0.9892445034136556
21,195,0.093188,0.7881439164876074
22,195,0.204208,0.8009617959845373
23,195,0.857424,0.9648509419148672
24,195,0.089296,0.733087951058001
25,195,0.099584,0.7023507415273466
26,195,0.847716,0.9662507445841301
27,195,0.852844,0.9789449415914108
28,195,0.091348,0.7212927525666727
29,195,0.853872,0.9534062290429632
30,195,0.805976,0.9379428640321793
31,195,0.852496,0.9949693107194508
32,195,0.859652,0.9620202674553286
33,195,0.857016,0.9676261017498194
34,195,0.089348,0.7209928972333979
35,195,0.08896,0.7473772699589113
36,195,0.8435,0.9586138179765928
37,195,0.840416,0.9601813365670829
38,195,0.856284,0.9650877848337691
39,195,0.83486,0.9790660501092592
40,195,0.854324,0.9556778238921614
41,195,0.820084,0.9511636965041167
42,195,0.089784,0.7075183064460572
43,195,0.818204,0.9676286995170383
44,195,0.8344,0.9736265500599718
45,195,0.085868,0.7223969455769106
46,195,0.845592,0.9865673408852187
47,195,0.864004,0.9790171261179715
48,195,0.856284,0.9719131913513401
49,195,0.849628,0.9632664288527021
50,195,0.845948,0.9565752367313063
1,243,0.088988,0.7714261786381748
2,243,0.092748,0.7487813420689371
3,243,0.08704,0.6585822142045834
4,243,0.08812,0.7192382914745434
5,243,0.082804,0.7111402393814215
6,243,0.08584,0.7859335739200304
7,243,0.091076,0.740225587337197
8,243,0.092576,0.7769932634092266
9,243,0.093552,0.6971833419733886
10,243,0.085816,0.7237723383187835
11,243,0.087184,0.7538095238095238
12,243,0.088668,0.7896935052738043
13,243,0.081948,0.7272487530293317
14,243,0.086156,0.7591515151515152
15,243,0.086916,0.7236564647628804
16,243,0.08758,0.6841453177716436
17,243,0.083328,0.7428693758938901
18,243,0.08762,0.7257241578375442
19,243,0.101312,0.7067918178132278
20,243,0.088308,0.7608427575250909
21,243,0.088476,0.7270155229686889
22,243,0.087336,0.739122533748702
23,243,0.087804,0.7277699222515213
24,243,0.086876,0.690535070559431
25,243,0.087468,0.7758443525053406
26,243,0.086644,0.7629507079511115
27,243,0.083852,0.7233035686643934
28,243,0.087228,0.7070707070707071
29,243,0.088744,0.80275798309328
30,243,0.090096,0.7556299517280008
31,243,0.088412,0.7130741376024394
32,243,0.08774,0.7618889684877109
33,243,0.093852,0.7471761918116676
34,243,0.082648,0.786066483330921
35,243,0.086556,0.7170174767189692
36,243,0.090536,0.734008745509007
37,243,0.087068,0.7585253251653572
38,243,0.08648,0.7548319337080502
39,243,0.093572,0.8257331019445556
40,243,0.091696,0.7183566314079757
41,243,0.086336,0.7722119909965214
42,243,0.101008,0.736869009107835
43,243,0.085884,0.6903446559661566
44,243,0.086164,0.6928075304264891
45,243,0.091628,0.7014531824577585
46,243,0.086828,0.6932689378031408
47,243,0.18554,0.9188884447799934
48,243,0.08542,0.7596330275229358
49,243,0.0922,0.726431129359802
50,243,0.08626,0.7044166277989974
1,192,0.127832,0.9589350952774245
2,192,0.116488,0.9522012884799506
3,192,0.120036,0.9072823459764785
4,192,0.093688,0.777229934174484
5,192,0.130872,0.9608018725405614
6,192,0.13096,0.9746846637703268
7,192,0.118876,0.9685590189477424
8,192,0.103864,0.9042169564575132
9,192,0.10682,0.8307313097113478
10,192,0.096076,0.764184978681535
11,192,0.1538,0.9848612971778037
12,192,0.113,0.9171337749629952
13,192,0.106368,0.8224000873723545
14,192,0.10228,0.839587877586093
15,192,0.112264,0.860333283336987
16,192,0.105692,0.8219044256120527
17,192,0.106332,0.8498823094658537
18,192,0.113764,0.8769725464764375
19,192,0.109908,0.8156630389158721
20,192,0.146744,0.9632124217458644
21,192,0.117684,0.9839089871470398
22,192,0.115136,0.975036581428793
23,192,0.103196,0.9865187762241104
24,192,0.09262,0.8065364139552702
25,192,0.127236,0.9490475344028204
26,192,0.099636,0.9448024115679902
27,192,0.130384,0.9594346348400432
28,192,0.102408,0.9940337349397591
29,192,0.113432,0.9685355804292834
30,192,0.134136,0.9521637336909329
31,192,0.11174,0.8927700115395519
32,192,0.134652,0.985216461471982
33,192,0.151788,0.9508781422192372
34,192,0.11858,0.9983574517631405
35,192,0.104432,0.9469638635596082
36,192,0.114872,0.9618573178072524
37,192,0.114448,0.9007359730915978
38,192,0.122048,0.906328616789119
39,192,0.12662,0.9788479425878286
40,192,0.141084,0.991590070655912
41,192,0.084968,0.8439718437919957
42,192,0.132252,0.9341939789932202
43,192,0.11308,0.8915133746315475
44,192,0.142684,0.9133288659135874
45,192,0.11936,0.9512264587560967
46,192,0.113784,0.8769059775624327
47,192,0.140112,0.8934488131769385
48,192,0.09616,0.8669993942188586
49,192,0.124436,0.9532085713959879
50,192,0.120368,0.9378657773749628
1,210,0.703952,0.1068867221788511
2,210,0.705696,0.10312142277916894
3,210,0.70022,0.11237376820777527
4,210,0.709864,0.1092463494248241
5,210,0.094124,0.7755796719169994
6,210,0.090732,0.8836264234238185
7,210,0.713612,0.09870363409349776
8,210,0.796652,0.8517127299741041
9,210,0.708376,0.10986044296261015
10,210,0.771124,0.8608955645303606
11,210,0.784956,0.8340587400132826
12,210,0.703136,0.09454659496719807
13,210,0.710736,0.10321089166837968
14,210,0.691804,0.10695660992356387
15,210,0.79074,0.861460964063542
16,210,0.089636,0.7257638188661082
17,210,0.707692,0.11705020281652864
18,210,0.78904,0.8633155006248858
19,210,0.709268,0.1155832187751092
20,210,0.79922,0.8380136543450322
21,210,0.701976,0.1054119338107985
22,210,0.094244,0.8268641267566383
23,210,0.705668,0.09855242255126373
24,210,0.695664,0.11487612235905525
25,210,0.703484,0.10857163683237296
26,210,0.691864,0.10339087233774351
27,210,0.70718,0.10309929096949147
28,210,0.787644,0.8485175348110605
29,210,0.097072,0.866254978296863
30,210,0.75254,0.8706198788907675
31,210,0.758556,0.8818412149877971
32,210,0.782756,0.8624320988268512
33,210,0.674784,0.12448123636523899
34,210,0.75278,0.8185407294706037
35,210,0.096436,0.8062436318590954
36,210,0.102528,0.783704738077229
37,210,0.778044,0.8247398155454198
38,210,0.789976,0.8608990670059372
39,210,0.097024,0.851390376925078
40,210,0.105072,0.7120275201247876
41,210,0.692284,0.09819921379882363
42,210,0.783852,0.86008934087973
43,210,0.095432,0.7799439775910365
44,210,0.097536,0.7398101619207147
45,210,0.780556,0.8348706032410864
46,210,0.784616,0.84199961559974
47,210,0.79994,0.8655784443641329
48,210,0.70544,0.10407011425687147
49,210,0.750248,0.8188961281514757
50,210,0.792436,0.867823721770908
1,209,0.560232,0.6515243367516713
2,209,0.52444,0.5821414282415853
3,209,0.521916,0.5814452311782489
4,209,0.09058,0.5669844121708173
5,209,0.571952,0.6399315075688339
6,209,0.55278,0.6022859587960716
7,209,0.427104,0.57079764074093
8,209,0.539924,0.6245162493588847
9,209,0.531708,0.6338158403523815
10,209,0.528688,0.6024103395553252
11,209,0.573904,0.6144312403427448
12,209,0.096208,0.4996402664567516
13,209,0.451788,0.5783215796705719
14,209,0.108568,0.5008153909743359
15,209,0.555688,0.610482896815297
16,209,0.552612,0.6159334105181911
17,209,0.515588,0.5882871427942699
18,209,0.534708,0.5959127424880849
19,209,0.5234,0.6236338759459221
20,209,0.537312,0.5853435691464663
21,209,0.487656,0.5845782784187961
22,209,0.555172,0.6289603403125852
23,209,0.533668,0.6139773394951357
24,209,0.537924,0.6013596840550585
25,209,0.548704,0.6218350250205859
26,209,0.526508,0.5960400732316041
27,209,0.526188,0.6064819108126602
28,209,0.543188,0.6314683980537692
29,209,0.496208,0.6017003258659965
30,209,0.576596,0.6695115501185067
31,209,0.49382,0.5859848634567859
32,209,0.583272,0.6347381211375156
33,209,0.575864,0.6558894216539395
34,209,0.104152,0.40891045826038136
35,209,0.105408,0.5045610537409987
36,209,0.417352,0.5524477797563527
37,209,0.580068,0.6336887409735704
38,209,0.568208,0.6389905379803836
39,209,0.575216,0.6416869373220865
40,209,0.56822,0.6467782905481307
41,209,0.540532,0.647189722198841
42,209,0.414656,0.5350201046856453
43,209,0.501448,0.5780470255089014
44,209,0.547176,0.6131188313926743
45,209,0.514144,0.5788594727035454
46,209,0.526796,0.5989139583015098
47,209,0.583716,0.6407475531237067
48,209,0.100456,0.4838663823738451
49,209,0.517036,0.5883234279976792
50,209,0.529956,0.591256461729128
